client_id,group_test
9988021,test
8320017,test
4033851,control
1982004,test
9294070,control
9466803,test
3170143,test
6651403,control
5887227,test
2105948,control
438567,test
2519971,test
9814849,control
5407849,test
7286739,control
4446011,control
5308474,test
2991219,test
2354414,test
949210,test
4229407,control
9987707,test
2709011,test
4507502,test
2842481,control
2317698,test
3013805,test
1218661,control
2965703,test
1712929,control
2328234,test
800925,control
6685654,test
8766054,test
4726500,test
9504867,test
1242238,control
7800773,test
9477476,control
1338778,control
6584990,control
7859827,test
7407692,test
7040762,control
9900469,test
5169372,control
5267250,control
2079440,test
5376894,test
3751049,control
8240010,test
6110816,test
2550129,test
9912156,control
7690370,test
9885354,test
1962381,test
229701,control
2818303,control
6229916,test
9358626,control
4773291,control
4953263,control
522661,test
3754789,control
3066535,control
9545426,control
4778144,control
2000786,control
1532932,test
9096386,test
6986475,control
7996704,control
2211277,test
9268841,test
4213800,control
1763518,control
7485024,test
2437471,control
1628554,test
9744906,test
7289266,control
3883711,test
8123801,test
598943,control
8491121,test
8861901,control
6853744,control
1404893,control
768936,test
5408845,test
9336495,control
4744361,control
2397739,test
2136502,test
7501437,test
9628154,control
9293919,control
5318449,test
5022038,test
2565373,control
5745157,test
6653427,test
6071019,control
632316,test
1152171,test
8188670,control
1021747,test
226198,test
6216233,control
1846219,test
2093449,test
7902892,test
722917,test
4747144,control
2199722,test
2235331,test
8313694,control
2382696,test
2679453,control
7276973,control
4532572,test
8771952,test
5256566,control
1342790,control
9775174,test
3703187,test
2769120,control
6031726,test
8870709,control
2145511,control
461846,control
4878112,control
843249,test
5018154,test
9414396,control
6650565,control
2062199,control
6682559,test
9516496,test
3382939,test
7833565,test
9448266,test
2406356,test
7112284,control
6141432,control
2015197,control
5429577,control
1636347,control
4577314,control
3068817,test
2358419,test
6283739,control
8289357,test
1423857,control
117916,test
2810561,test
2040881,control
6547909,control
9774553,test
203702,control
2336869,control
3638107,control
391025,control
6954534,test
7636277,control
8100455,test
3548541,test
2050360,test
8675285,test
868124,control
8241574,test
559169,control
2276090,control
1095432,test
3036660,control
5546524,control
3544855,test
7474517,control
7212234,test
9207047,test
452583,control
7762269,test
7599262,test
945176,control
7690452,test
5537612,test
4256611,test
2889049,control
137412,test
171492,test
668996,control
8076294,control
8893466,test
4727155,test
4493573,test
2797397,control
6480779,control
257840,test
7340414,control
5221768,test
2306578,test
9700346,test
192518,test
5163125,control
5821983,control
1884538,control
902895,test
841242,control
872142,control
3480918,test
8203999,test
617840,control
1929698,control
8963925,test
7758940,test
8319726,test
298590,test
2856502,test
6930182,test
965266,control
2465098,test
1667380,test
8701900,test
5133382,test
913704,test
1519456,test
8424645,control
7284366,test
1933359,test
4506445,test
8366788,test
7214811,test
6819326,control
2475049,control
6394423,test
3081313,control
9292160,test
493311,control
4470019,test
6442081,test
8416851,control
1938076,test
1907109,test
2852997,control
7979476,test
5255030,test
3633784,test
7161996,test
9707270,control
4772716,control
9888375,control
1161478,test
7669299,test
3827180,control
1970830,control
1640688,control
676552,test
3399501,test
3543788,test
7902599,test
8068308,control
4638153,control
1788838,control
693101,test
6520285,test
9997114,control
3286605,control
1751757,test
1064690,control
2038707,control
297472,control
2160702,control
2289897,control
4657902,test
6960009,control
6665317,test
2057773,control
7523181,control
5324253,test
860745,control
5340072,test
5226626,test
4520186,test
219230,control
3369137,control
7479054,control
4244891,test
4384098,control
7582150,control
8308363,test
8165914,test
3520993,control
5645966,control
9378146,control
148369,test
5192659,test
7007069,control
127921,test
3310785,control
7423412,control
8279228,test
588240,control
7699381,control
7046133,control
9364005,test
5459195,test
6442655,test
7449461,test
4963381,test
6456062,control
4823947,control
8860992,control
530654,control
3347759,control
7873338,control
169185,test
6980919,test
6519269,test
1638971,test
7984549,test
4137841,test
459221,test
3430793,test
4853470,test
8696517,control
5751565,test
3968370,control
1718250,test
6058534,test
6597561,control
6098661,test
8861365,test
2346575,test
7973780,control
5119497,control
2532775,test
3155140,control
924852,test
8330343,test
8607482,test
4827059,control
4785260,test
4778491,test
7200160,test
304982,control
7177069,test
9059531,control
3130496,test
7705990,test
133101,control
2790745,test
2498676,test
8988721,control
6224299,control
3217890,control
9403921,control
2356366,control
453167,control
372523,control
2611324,test
8766886,test
3106431,test
5615453,test
7087847,control
8760103,test
5786954,test
3175977,test
5124813,test
7221996,test
7422759,control
8609229,test
9176963,test
589292,test
5417457,control
863704,control
117276,test
7441896,control
7763445,test
7359292,test
4101033,control
1180583,control
246429,test
395074,test
6006542,test
1424799,test
4251309,test
5026927,test
8512093,test
8959766,test
413157,control
7448926,control
806192,test
1542033,test
3432043,test
1406408,test
4694039,test
2155192,test
2657900,control
4514754,control
1673947,control
4961256,test
3413971,control
2323637,test
1209140,test
85097,control
2262795,control
4501407,test
5593703,test
1461831,test
5867403,test
8825647,control
2314843,test
219207,test
3535465,test
4878070,test
7337058,control
3498908,control
77276,test
4630285,control
5667617,test
8184247,control
7787684,control
4247007,control
7644707,test
8620721,control
1818956,control
2211868,control
5437254,test
3584819,control
6303538,control
897477,control
8003648,control
5456658,control
3846126,test
5673767,test
2558586,test
4008787,test
6917138,test
2333006,control
9067031,test
7761694,test
2043345,test
4209246,test
5238758,test
1373405,test
8277940,control
2735635,test
5567038,test
4239711,control
9635244,control
2798211,test
2915635,test
947738,test
3444839,test
9797297,control
5176958,control
759780,test
4985317,test
3910595,test
6688350,test
6405208,test
2986194,test
1651697,control
6503101,test
9103724,control
2561883,test
7873226,control
9922958,test
323950,control
932489,test
6781849,control
467861,test
7430424,control
7458004,control
8753284,test
9052277,test
1428836,test
2480352,test
5896556,control
3716868,test
993682,control
4036374,control
1330036,test
6325731,test
8750191,control
1720728,test
9004679,control
4342700,control
8723963,test
2458751,test
5203477,test
6405391,test
2374507,test
3011265,control
3029315,test
9164248,test
6450029,control
7045324,test
3582059,test
6773537,test
1314809,control
2615801,test
7375067,control
7159966,test
4575187,test
667534,test
8604038,control
2617114,control
3436975,control
119599,test
7574730,test
3362712,control
42296,control
3695514,control
1192384,control
4590361,control
5543024,test
7546085,test
3072060,test
1928906,control
512833,control
9089805,control
5397802,test
2888193,control
4778460,control
6199584,test
7192558,test
9102754,test
3576255,test
6346672,control
1274510,test
8283444,control
3519145,test
4390568,control
5694063,test
3602152,test
4065760,test
69568,test
2420923,test
5848027,control
6522942,test
1272344,test
8957739,test
8337830,control
572617,test
7744581,test
3045158,control
6747525,control
7258442,control
7746715,test
1486118,control
3563844,test
9493365,test
985881,test
9792423,test
7037852,control
6767637,control
8735726,control
5914359,test
1983898,control
8930597,control
1892008,control
9889913,test
1468125,control
3025507,control
529710,test
9842475,control
4343885,control
4876132,test
7829568,test
8472274,test
7475482,control
6371350,test
838584,test
8526665,control
9865882,control
4717090,control
1289178,test
3412472,control
6766816,test
6774011,test
3649806,test
1034218,test
4448805,control
3766837,test
9231655,control
6296222,test
2200779,test
5027124,control
1432979,control
3999559,test
3671491,control
3179230,test
9748979,control
3590487,test
8874319,test
8691226,test
9513138,control
7884558,test
1090478,test
1304240,test
2681612,control
851930,control
1344982,test
5171271,test
6602680,test
2447231,test
5631396,test
6833110,control
4960901,control
2189750,test
9455754,test
209511,control
741785,control
2855888,control
9083686,control
2645953,control
903457,control
3039540,test
4730612,test
2763314,control
3453411,test
5212054,control
1344819,control
8681644,control
8125499,test
7271587,test
964596,test
2675819,control
8852099,control
7465287,test
8132181,test
5759626,test
2900782,control
2963107,control
8862044,control
7433366,control
133487,control
7470213,test
6809622,test
1616582,test
9159465,test
494597,test
4503552,control
3089722,control
9641810,control
985046,test
192160,test
6233261,test
6332820,control
2623927,control
8839288,test
495241,test
5195063,test
7878552,control
2312741,test
7633966,control
6717348,test
3502824,control
614865,test
7702732,test
1711408,test
1399670,control
157106,test
1696504,control
4243376,test
2606054,test
4369578,test
7597104,control
9221129,test
8225520,test
595691,test
6464033,test
4211505,control
9335333,test
1192407,test
9824178,test
1087333,test
3982600,control
1290643,test
728102,test
763504,test
629229,test
2892822,test
219038,test
3387907,control
951327,test
4857096,control
7258987,test
5240348,control
9219098,control
6521093,control
3421393,control
2025761,control
3119062,test
6740819,control
6053599,control
7606536,control
3206726,control
2128160,control
2019649,test
1194245,control
2681771,test
8295735,control
312984,control
2839247,control
9661060,test
5732744,control
3973582,test
4620465,test
6115514,test
6479455,test
5363445,control
6981798,control
8031718,control
1262291,control
8770403,control
1348442,control
566137,test
3861702,control
4693102,control
5398009,test
5015824,test
9542428,control
8348798,test
4608580,control
2263719,control
2612667,test
1213524,test
1344421,test
8555070,control
2787512,control
9534176,control
2588637,test
2615052,test
965179,test
273469,test
6651108,test
7460349,control
3197853,test
844271,test
8774888,test
6382757,test
8501430,control
6724494,test
7804581,control
8095423,control
8264879,test
6374406,control
2717233,test
9837096,control
4281763,test
9112089,control
7887156,control
743037,control
3825646,control
6948287,test
3060095,test
9696533,control
4701896,test
4743022,control
2491891,test
589393,test
6033805,control
7690775,control
466526,control
8305562,test
3319690,test
5253835,test
5688104,control
9589889,test
9513516,test
1410997,control
6682361,test
390650,test
9914877,test
1908164,test
1428184,test
6662941,control
625038,control
8127978,test
4497644,test
2928968,test
2459641,test
2502567,control
6809452,test
2570257,control
1900836,test
9887206,test
8117339,control
9292612,control
4589317,test
9600289,test
8644587,test
3515019,test
1399011,test
3859509,test
9624621,control
1411452,test
9451729,test
7158922,test
2824464,test
7355987,test
4290599,test
195455,test
5941398,test
4855745,test
5670374,control
4889645,test
7393980,test
5754741,test
955190,test
5520127,control
8360249,control
4825054,control
431615,test
6405406,test
5619517,control
4452301,test
9762839,test
2044540,control
5080437,test
8213521,control
9937888,test
9786441,test
5593356,control
6217407,test
4883446,test
8655162,test
1622925,test
5867862,test
7916237,test
2080737,test
3350408,test
1011972,control
520210,test
6559023,control
1835426,test
1859491,test
8158588,test
1787233,test
1255014,control
3314416,control
8121690,test
8219792,control
3252556,test
4577049,control
9795698,test
4202537,control
8792675,control
1113976,test
6605778,test
3030274,control
5166590,test
5395303,control
122493,control
8607353,test
9309880,test
6219485,test
6779709,test
1181698,control
8627900,test
9265934,control
9441056,control
9017041,control
2815061,control
6330488,test
8550901,control
6586655,control
435580,control
6461191,control
5551581,test
9983987,test
8006148,test
6670730,control
6692080,test
3861021,control
4332065,test
5802843,test
4052287,control
8375573,test
8512863,control
9749944,control
9615900,test
7274800,test
5819620,control
1790923,control
6097361,control
8314579,test
9286966,test
8961589,test
7105238,control
3071281,test
981261,control
987879,test
9652308,test
3976933,control
8544465,test
8645809,test
7278903,test
9455359,test
8627399,control
162867,test
1033888,control
7512282,control
3875133,test
5296568,test
5569364,control
483740,test
6958432,test
4533589,test
7977593,control
8470878,control
2460950,test
5028215,test
7030145,test
7303592,control
2465426,control
9007970,test
1333964,test
4129281,test
4635518,control
8605014,control
9382137,control
5328442,control
7932118,test
3028950,test
6148802,test
5955812,test
2923234,test
2528424,test
3722490,test
9296214,test
2529822,test
3337387,test
4870929,test
2619480,control
7421893,control
3725888,test
9406425,test
2529383,test
6724871,test
9322129,test
9202764,control
5209141,test
2113818,test
9764115,test
1296904,control
4719244,test
6372831,control
4313319,control
542563,control
9076766,control
6410961,control
3050600,control
8945602,control
1111442,test
1061161,control
6580601,control
2671815,control
8794099,control
56570,test
1647261,control
3579822,control
9461504,test
4728463,test
7377294,test
7931364,test
8156741,control
5033489,control
2983878,control
3461541,control
6434694,control
6751236,test
7429878,test
5171763,control
8012228,test
7825081,test
6046772,test
8580049,test
2067509,test
3944371,control
8987034,test
5836504,test
9111035,test
2685663,test
2722950,control
7218675,control
3009581,control
8091872,control
1755496,test
9128400,test
3334970,test
559468,test
1925220,control
4979031,test
9910098,control
983122,control
8249646,control
8950069,test
9058579,control
9039182,test
3010914,control
7021345,control
963874,test
1546314,control
7767849,test
7068149,control
8118036,test
9726680,test
4519160,control
6773284,test
7429772,control
2368143,test
6308576,test
3956597,control
3052488,control
8758402,control
9664272,control
6905463,control
1144410,control
2548388,test
9932367,control
3149254,test
2493468,test
7887617,test
3317334,control
5512354,control
7889092,control
5267696,test
7060702,control
8569065,control
2006775,test
6030486,control
6280351,control
2108691,control
2599976,control
2853115,control
4554752,control
8968789,control
1212721,test
3322967,test
6486309,test
5436729,test
3074366,test
3291778,control
7059333,control
5188022,control
6884073,control
5206988,test
3366060,test
7342579,test
1465396,test
4780398,control
2152873,control
9129878,control
4023943,control
521003,control
2021664,test
2601570,test
6066143,test
464620,control
3700898,test
1596808,control
6578023,control
1455127,test
9595233,control
8560542,test
2616663,test
6793640,control
3097635,test
409450,control
7505821,test
2802293,control
7928244,test
6094349,test
6911162,control
5379396,test
2035117,control
2379374,test
6362594,control
749827,test
8462755,control
766467,control
7829434,control
4374006,test
5586955,test
5364422,test
4374056,test
9817774,test
4040468,test
5651761,test
1003061,control
4516267,control
71476,control
5599391,control
2615082,test
8466565,test
2471812,test
864721,control
5766460,test
6379996,test
3391330,test
5449569,test
3028832,test
3703213,test
1555813,test
2095170,test
837625,control
1735341,control
3216999,control
5721401,test
9542949,control
9894399,control
5242744,test
5566976,test
934442,control
4363111,control
9340301,control
9967085,control
6251290,test
9573768,control
160938,control
5525291,test
2674649,control
3399215,control
6804613,control
928670,test
9960929,test
7858061,test
7471769,control
65845,control
1732360,control
6591984,control
4133463,test
2541876,test
1483517,test
2044842,control
707815,test
5457890,control
6455115,control
180404,control
7263999,test
2622312,control
8962467,control
2190311,test
3806081,test
6061376,control
