client_id,group_test,age,age_label,gender,num_accts,balance,tenure_years,tenure_months
836976,test,60.5,Senior,U,2.0,45105.3,6.0,73.0
2304905,control,58.0,Middle-aged,U,2.0,110860.3,7.0,94.0
1439522,test,32.0,Middle-aged,U,2.0,52467.78999999999,5.0,64.0
1562045,test,49.0,Middle-aged,M,2.0,67454.65,16.0,198.0
5126305,control,33.0,Middle-aged,F,2.0,103671.75,12.0,145.0
3727881,control,30.5,Time to die,U,2.0,23915.6,5.0,71.0
272934,control,58.5,Middle-aged,U,2.0,27021.42,5.0,66.0
388801,test,57.5,Middle-aged,M,5.0,522498.72,30.0,361.0
285619,control,67.5,Senior,M,2.0,299388.72,30.0,369.0
8198645,test,54.5,Middle-aged,F,2.0,382303.83,15.0,189.0
8368822,control,34.5,Middle-aged,U,2.0,75578.54000000001,8.0,100.0
2537139,control,51.5,Middle-aged,U,2.0,135940.68,8.0,99.0
2208717,test,33.0,Middle-aged,U,2.0,29782.96,5.0,67.0
2214073,test,62.5,Senior,M,3.0,136818.03,16.0,193.0
2368987,control,54.5,Middle-aged,U,2.0,44408.87,5.0,71.0
2892152,test,36.0,Middle-aged,U,2.0,46815.48,4.0,58.0
4536541,test,74.0,Senior,U,2.0,47804.5,3.0,47.0
3788589,control,32.5,Middle-aged,M,2.0,30750.76,10.0,122.0
719792,test,31.0,Middle-aged,F,2.0,111736.78,11.0,136.0
5904035,test,25.5,Young dults,U,2.0,27848.76,8.0,101.0
1502049,control,31.0,Middle-aged,U,2.0,28952.15,8.0,100.0
6590646,test,42.5,Middle-aged,F,3.0,2768726.87,8.0,103.0
7585111,control,42.0,Middle-aged,U,3.0,36621.41,5.0,70.0
3638336,test,30.5,Time to die,M,3.0,54296.67,12.0,152.0
9520009,control,30.0,Young dults,M,2.0,61062.57,13.0,160.0
1508759,test,58.5,Middle-aged,U,2.0,66514.85,6.0,80.0
9381346,control,62.5,Senior,U,2.0,272252.76,7.0,88.0
7035604,control,30.5,Time to die,U,2.0,28175.92,7.0,86.0
3055315,control,34.5,Middle-aged,F,2.0,66560.69,5.0,65.0
3350906,control,55.0,Middle-aged,U,2.0,88627.18,5.0,68.0
2109862,test,38.0,Middle-aged,U,2.0,35917.29,7.0,93.0
1549737,control,68.5,Senior,U,2.0,35608.94,7.0,94.0
7474517,control,52.5,Middle-aged,U,2.0,53993.47,6.0,73.0
6448014,control,57.5,Middle-aged,U,2.0,82787.45999999999,7.0,85.0
6651826,control,34.5,Middle-aged,U,2.0,44696.97,8.0,103.0
2305285,control,54.0,Middle-aged,M,2.0,132347.89,14.0,168.0
5889920,test,33.0,Middle-aged,M,2.0,106249.03,11.0,142.0
3065089,test,63.0,Senior,M,2.0,439723.43,19.0,228.0
313570,test,48.0,Middle-aged,F,2.0,75124.07,18.0,223.0
9721424,test,32.0,Middle-aged,F,2.0,29667.6,12.0,152.0
3753796,control,66.5,Senior,F,2.0,214661.75,25.0,305.0
6647577,test,68.0,Senior,F,3.0,86005.57,23.0,286.0
6341488,test,65.0,Senior,F,2.0,116534.46,23.0,285.0
838619,test,60.5,Senior,F,2.0,131309.81,23.0,280.0
2000151,test,38.0,Middle-aged,F,2.0,136515.53999999998,21.0,254.0
6579978,control,74.0,Senior,M,2.0,71192.58,21.0,253.0
8475126,control,51.0,Middle-aged,M,3.0,327091.02,23.0,278.0
7419744,test,49.0,Middle-aged,U,2.0,162233.71000000002,18.0,221.0
9796602,test,46.0,Middle-aged,F,2.0,25827.39,18.0,216.0
1329260,control,63.5,Senior,F,2.0,666138.27,17.0,212.0
4821014,control,62.5,Senior,M,2.0,45073.26,17.0,204.0
7906602,test,54.5,Middle-aged,F,2.0,39725.28,21.0,260.0
2671231,control,23.0,Young dults,U,2.0,43062.3,5.0,68.0
9587439,control,26.5,Young dults,U,2.0,28875.65,5.0,66.0
5542798,test,56.5,Middle-aged,M,2.0,79888.68,9.0,116.0
5977906,control,76.5,Senior,F,2.0,82916.93,10.0,130.0
7928244,test,33.0,Middle-aged,F,2.0,105416.69,14.0,177.0
4906392,control,27.5,Young dults,F,2.0,52600.87,13.0,159.0
3939684,control,60.5,Senior,F,2.0,48166.13,15.0,190.0
3731320,test,39.5,Middle-aged,U,2.0,34487.99,7.0,89.0
9055726,test,25.0,Young dults,U,3.0,33261.64,5.0,70.0
5808972,control,23.0,Young dults,U,2.0,29898.98,5.0,66.0
7414763,test,27.0,Young dults,U,2.0,53219.65,7.0,91.0
1531616,control,60.0,Senior,M,2.0,100777.88,10.0,129.0
8387066,test,66.0,Senior,M,2.0,406190.96,27.0,329.0
3402999,control,39.0,Middle-aged,U,2.0,56527.9,7.0,92.0
8593187,control,56.0,Middle-aged,M,3.0,207559.95,14.0,168.0
5908339,control,40.0,Middle-aged,F,2.0,205785.55,15.0,190.0
4442018,control,33.0,Middle-aged,U,2.0,65264.87,6.0,82.0
5727622,test,52.0,Middle-aged,U,3.0,109130.47,6.0,73.0
3284361,test,31.5,Middle-aged,F,2.0,28085.99,12.0,152.0
6666515,test,38.0,Middle-aged,U,2.0,59526.37,14.0,169.0
9150149,control,43.5,Middle-aged,U,2.0,104179.39,5.0,66.0
7176877,control,35.0,Middle-aged,U,2.0,75279.47,5.0,66.0
410752,test,19.0,Young dults,M,2.0,25640.01,11.0,142.0
3979917,control,63.0,Senior,M,2.0,374919.6,19.0,239.0
7759130,test,64.5,Senior,U,2.0,78278.56,5.0,69.0
5587497,control,64.0,Senior,U,2.0,410277.5,7.0,91.0
4264493,control,22.5,Young dults,U,3.0,36298.01,5.0,67.0
9492169,control,42.0,Middle-aged,U,2.0,98181.16,4.0,58.0
5816825,test,54.5,Middle-aged,F,2.0,32873.33,14.0,178.0
9692048,control,38.0,Middle-aged,M,2.0,87935.1,11.0,142.0
9250552,control,33.5,Middle-aged,U,2.0,77674.34,7.0,95.0
